# 2025.10.10 [*] created by TopoDroid v 6.3.52
# name: Laci_Fogadalom
# date: 2022.03.19
# team: NemLaci
# declination: 5.37
# units: tape meter compass clino degree
# from, to, tape, compass, clino, extend, flags, comment
22@Laci_Fogadalom,-,2.89,174.8,-19.1,,,""
22@Laci_Fogadalom,-,1.24,161.4,-70.6,,,""
22@Laci_Fogadalom,-,1.54,194.9,-47.0,,,""
22@Laci_Fogadalom,-,1.79,201.5,-29.4,,,""
22@Laci_Fogadalom,-,2.51,214.9,13.6,,,""
22@Laci_Fogadalom,-,3.25,205.9,14.9,,,""
22@Laci_Fogadalom,-,3.41,194.1,13.5,,,""
22@Laci_Fogadalom,-,4.30,193.7,83.3,,,""
22@Laci_Fogadalom,-,5.54,127.6,81.5,,,""
22@Laci_Fogadalom,-,8.43,134.7,73.3,,,""
22@Laci_Fogadalom,-,4.88,132.3,64.3,,,""
22@Laci_Fogadalom,-,4.74,126.3,56.3,,,""
22@Laci_Fogadalom,-,6.56,205.3,55.7,,,""
22@Laci_Fogadalom,-,4.55,215.0,69.6,,,""
22@Laci_Fogadalom,-,3.79,195.8,37.6,,,""
22@Laci_Fogadalom,-,6.63,191.7,33.4,,,""
22@Laci_Fogadalom,-,5.76,195.1,38.6,,,""
22@Laci_Fogadalom,-,5.71,184.7,31.1,,,""
22@Laci_Fogadalom,-,6.31,170.3,48.7,,,""
22@Laci_Fogadalom,-,2.68,174.2,46.9,,,""
22@Laci_Fogadalom,-,2.89,176.9,53.3,,,""
22@Laci_Fogadalom,-,2.91,193.4,56.4,,,""
22@Laci_Fogadalom,-,2.63,201.9,50.5,,,""
22@Laci_Fogadalom,-,2.50,188.6,46.5,,,""
22@Laci_Fogadalom,23@Laci_Fogadalom,5.96,164.2,56.3,-1,,""
23@Laci_Fogadalom,-,1.19,101.5,-22.4,,,""
23@Laci_Fogadalom,-,1.55,74.8,-25.5,,,""
23@Laci_Fogadalom,-,1.91,57.2,-25.2,,,""
23@Laci_Fogadalom,-,2.28,39.9,-25.3,,,""
23@Laci_Fogadalom,-,2.88,31.4,-25.0,,,""
23@Laci_Fogadalom,-,4.75,26.9,-25.0,,,""
23@Laci_Fogadalom,-,5.64,9.9,-24.7,,,""
23@Laci_Fogadalom,-,4.15,345.2,-16.5,,,""
23@Laci_Fogadalom,-,4.83,354.9,-18.7,,,""
23@Laci_Fogadalom,-,3.69,333.6,-15.9,,,""
23@Laci_Fogadalom,-,5.17,334.3,-25.1,,,""
23@Laci_Fogadalom,-,4.44,321.0,-24.1,,,""
23@Laci_Fogadalom,-,3.08,299.5,-19.4,,,""
23@Laci_Fogadalom,-,2.98,277.2,-6.7,,,""
23@Laci_Fogadalom,-,4.03,257.7,2.1,,,""
23@Laci_Fogadalom,-,4.41,245.9,9.6,,,""
23@Laci_Fogadalom,-,7.98,349.3,-50.8,,,""
23@Laci_Fogadalom,-,8.04,350.3,-45.6,,,""
23@Laci_Fogadalom,-,8.68,354.6,-55.8,,,""
23@Laci_Fogadalom,-,3.22,311.7,50.2,,,""
23@Laci_Fogadalom,-,3.94,296.5,63.9,,,""
23@Laci_Fogadalom,-,7.01,292.6,68.1,,,""
23@Laci_Fogadalom,-,8.86,286.9,71.5,,,""
23@Laci_Fogadalom,-,8.42,270.2,75.6,,,""
23@Laci_Fogadalom,-,4.22,259.4,76.2,,,""
23@Laci_Fogadalom,-,1.78,233.1,69.1,,,""
23@Laci_Fogadalom,-,1.24,228.4,71.4,,,""
23@Laci_Fogadalom,-,1.02,169.2,73.8,,,""
23@Laci_Fogadalom,-,3.86,196.9,6.6,,,""
23@Laci_Fogadalom,-,5.89,234.7,20.4,,,""
23@Laci_Fogadalom,-,3.61,249.7,19.3,,,""
23@Laci_Fogadalom,-,7.41,218.7,45.4,,,""
23@Laci_Fogadalom,-,11.62,239.5,58.6,,,""
23@Laci_Fogadalom,-,8.65,272.3,71.5,,,""
23@Laci_Fogadalom,-,9.05,224.6,25.1,,,""
23@Laci_Fogadalom,-,6.50,231.8,35.5,,,""
23@Laci_Fogadalom,-,2.24,229.5,11.3,,,""
23@Laci_Fogadalom,24@Laci_Fogadalom,9.88,220.2,28.2,-1,,"Kagylós kő mellett"
24@Laci_Fogadalom,-,0.79,3.1,8.6,,,""
24@Laci_Fogadalom,-,2.38,20.0,2.2,,,""
24@Laci_Fogadalom,-,3.38,25.4,0.6,,,""
24@Laci_Fogadalom,-,4.72,27.2,1.7,,,""
24@Laci_Fogadalom,-,9.46,28.2,1.5,,,""
24@Laci_Fogadalom,-,10.13,33.2,1.7,,,""
24@Laci_Fogadalom,-,8.14,45.4,-2.7,,,""
24@Laci_Fogadalom,-,1.77,97.4,15.8,,,""
24@Laci_Fogadalom,-,1.84,124.3,18.9,,,""
24@Laci_Fogadalom,-,2.42,142.5,18.9,,,""
24@Laci_Fogadalom,-,3.91,154.3,23.9,,,""
24@Laci_Fogadalom,-,5.55,168.0,29.0,,,""
24@Laci_Fogadalom,-,5.13,168.8,30.2,,,""
24@Laci_Fogadalom,-,7.58,176.3,32.1,,,""
24@Laci_Fogadalom,-,7.88,181.1,33.3,,,""
