# 2025.10.10 [*] created by TopoDroid v 6.3.52
# name: Laci-zsomboly
# date: 2022.01.29
# team: 
# declination: undefined
# units: tape meter compass clino degree
# from, to, tape, compass, clino, extend, flags, comment
7@Laci-zsomboly,-,1.00,87.8,-26.6,,,""
7@Laci-zsomboly,-,4.00,249.2,39.8,,,""
7@Laci-zsomboly,-,4.79,256.1,40.0,,,""
7@Laci-zsomboly,-,4.47,258.4,38.9,,,""
7@Laci-zsomboly,-,1.14,283.6,24.7,,,""
7@Laci-zsomboly,-,0.71,246.8,30.5,,,""
7@Laci-zsomboly,-,1.02,302.3,11.4,,,""
7@Laci-zsomboly,-,1.64,320.8,7.3,,,""
7@Laci-zsomboly,-,1.84,335.9,8.1,,,""
7@Laci-zsomboly,-,2.94,347.3,9.1,,,""
7@Laci-zsomboly,-,3.31,0.6,10.3,,,""
7@Laci-zsomboly,-,8.36,7.3,12.1,,,""
7@Laci-zsomboly,-,10.26,15.8,16.1,,,""
7@Laci-zsomboly,-,3.75,21.7,15.5,,,""
7@Laci-zsomboly,-,3.61,31.6,16.0,,,""
7@Laci-zsomboly,-,3.39,357.5,28.2,,,""
7@Laci-zsomboly,-,5.91,5.4,30.7,,,""
7@Laci-zsomboly,-,8.69,10.4,29.5,,,""
7@Laci-zsomboly,-,10.39,17.8,26.9,,,""
7@Laci-zsomboly,-,8.67,25.4,24.6,,,""
7@Laci-zsomboly,-,0.93,61.3,-8.4,,,""
7@Laci-zsomboly,-,1.19,47.8,-9.4,,,""
7@Laci-zsomboly,-,2.35,40.8,-7.2,,,""
7@Laci-zsomboly,-,3.07,32.1,-5.5,,,""
7@Laci-zsomboly,-,3.68,33.7,-26.5,,,""
7@Laci-zsomboly,8@Laci-zsomboly,7.53,2.5,-25.5,1,,"Elosztó Y mellett"
8@Laci-zsomboly,-,1.67,6.4,34.1,,,""
8@Laci-zsomboly,-,1.87,19.4,14.1,,,""
8@Laci-zsomboly,-,3.44,26.2,10.8,,,""
8@Laci-zsomboly,-,4.09,38.5,3.3,,,""
8@Laci-zsomboly,-,4.52,73.2,1.7,,,""
8@Laci-zsomboly,-,2.73,96.1,8.1,,,""
8@Laci-zsomboly,-,3.78,101.6,25.3,,,""
8@Laci-zsomboly,-,6.47,109.3,40.4,,,""
8@Laci-zsomboly,-,7.33,114.1,61.6,,,""
8@Laci-zsomboly,-,8.84,113.8,67.6,,,""
8@Laci-zsomboly,-,8.20,111.6,73.8,,,""
8@Laci-zsomboly,-,9.19,112.8,70.5,,,""
8@Laci-zsomboly,-,7.26,138.1,81.5,,,""
8@Laci-zsomboly,-,5.73,207.9,83.1,,,""
8@Laci-zsomboly,-,5.38,236.4,72.9,,,""
8@Laci-zsomboly,-,2.48,237.0,68.4,,,""
8@Laci-zsomboly,-,0.62,244.1,62.0,,,""
8@Laci-zsomboly,-,2.45,104.6,-11.0,,,""
8@Laci-zsomboly,-,3.74,97.9,-35.4,,,""
8@Laci-zsomboly,-,4.23,93.5,-50.7,,,""
8@Laci-zsomboly,-,5.51,86.1,-58.0,,,""
8@Laci-zsomboly,-,7.08,82.8,-62.3,,,""
8@Laci-zsomboly,-,7.94,79.3,-69.6,,,""
8@Laci-zsomboly,-,12.13,72.0,-73.6,,,""
8@Laci-zsomboly,-,8.45,73.0,-75.2,,,""
8@Laci-zsomboly,-,4.75,83.6,-78.1,,,""
8@Laci-zsomboly,-,2.07,106.2,-80.5,,,""
8@Laci-zsomboly,-,1.66,210.3,29.3,,,""
8@Laci-zsomboly,-,2.59,205.8,20.8,,,""
8@Laci-zsomboly,-,2.72,198.3,19.0,,,""
8@Laci-zsomboly,-,4.17,195.9,15.5,,,""
8@Laci-zsomboly,-,4.34,185.2,15.8,,,""
8@Laci-zsomboly,-,8.03,187.0,27.1,,,""
8@Laci-zsomboly,-,7.60,179.6,26.2,,,""
8@Laci-zsomboly,-,7.15,171.1,22.2,,,""
8@Laci-zsomboly,-,6.24,166.3,20.1,,,""
8@Laci-zsomboly,-,2.74,158.7,19.4,,,""
8@Laci-zsomboly,-,2.64,149.2,17.4,,,""
8@Laci-zsomboly,-,2.67,140.0,16.5,,,""
8@Laci-zsomboly,-,2.58,126.0,23.9,,,""
8@Laci-zsomboly,-,3.40,114.1,26.7,,,""
8@Laci-zsomboly,-,4.16,101.0,28.8,,,""
8@Laci-zsomboly,-,6.48,125.0,45.3,,,""
8@Laci-zsomboly,-,5.70,147.5,51.1,,,""
8@Laci-zsomboly,-,6.68,160.7,53.5,,,""
8@Laci-zsomboly,-,7.04,167.4,61.5,,,""
8@Laci-zsomboly,-,8.43,168.1,67.8,,,""
8@Laci-zsomboly,-,6.59,168.8,70.3,,,""
8@Laci-zsomboly,-,5.76,36.1,-37.4,,,""
8@Laci-zsomboly,-,7.26,51.5,-46.6,,,""
8@Laci-zsomboly,-,6.90,65.2,-43.2,,,""
8@Laci-zsomboly,9@Laci-zsomboly,6.37,44.7,-40.9,1,,"Tomi lyuka bal fal"
9@Laci-zsomboly,-,1.58,275.6,-17.0,,,""
9@Laci-zsomboly,-,1.98,244.2,-14.7,,,""
9@Laci-zsomboly,-,2.79,226.7,-51.3,,,""
9@Laci-zsomboly,-,2.13,198.2,-66.6,,,""
9@Laci-zsomboly,-,6.60,253.9,-46.7,,,""
9@Laci-zsomboly,-,7.24,276.3,-46.1,,,""
9@Laci-zsomboly,-,1.11,26.9,22.2,,,""
9@Laci-zsomboly,-,2.29,50.1,22.3,,,""
9@Laci-zsomboly,-,2.70,74.5,16.7,,,""
9@Laci-zsomboly,-,2.22,118.5,15.4,,,""
9@Laci-zsomboly,-,2.61,105.9,17.9,,,""
9@Laci-zsomboly,-,2.60,95.6,19.0,,,""
9@Laci-zsomboly,-,3.27,85.5,20.3,,,""
9@Laci-zsomboly,-,1.64,130.1,6.5,,,""
9@Laci-zsomboly,-,1.62,120.0,10.8,,,""
9@Laci-zsomboly,10@Laci-zsomboly,4.97,91.0,14.4,1,,"Tomi lyukában kukában jobb fal"
10@Laci-zsomboly,-,0.76,280.0,-2.2,,,""
10@Laci-zsomboly,-,2.26,263.3,-4.4,,,""
10@Laci-zsomboly,-,5.12,272.8,-1.0,,,""
10@Laci-zsomboly,-,0.86,253.2,-6.1,,,""
10@Laci-zsomboly,-,0.47,193.1,-6.0,,,""
10@Laci-zsomboly,-,0.54,151.0,-24.5,,,""
10@Laci-zsomboly,-,0.99,122.4,-29.6,,,""
10@Laci-zsomboly,-,0.93,81.1,-28.9,,,""
10@Laci-zsomboly,-,1.98,102.4,-16.1,,,""
10@Laci-zsomboly,-,2.41,97.5,-17.6,,,""
10@Laci-zsomboly,-,1.87,91.8,-18.0,,,""
10@Laci-zsomboly,11@Laci-zsomboly,2.33,100.7,-25.5,1,,""
11@Laci-zsomboly,-,1.32,296.9,70.1,,,""
11@Laci-zsomboly,-,1.48,279.0,73.9,,,""
11@Laci-zsomboly,-,3.24,10.6,80.1,,,""
11@Laci-zsomboly,-,0.34,351.8,9.7,,,""
11@Laci-zsomboly,-,0.66,299.8,-7.9,,,""
11@Laci-zsomboly,-,1.53,278.5,5.4,,,""
11@Laci-zsomboly,-,1.20,281.5,4.0,,,""
11@Laci-zsomboly,-,0.64,16.5,-38.8,,,""
11@Laci-zsomboly,-,0.52,25.7,-37.6,,,""
11@Laci-zsomboly,-,1.49,257.0,7.3,,,""
11@Laci-zsomboly,-,0.46,246.3,16.1,,,""
11@Laci-zsomboly,12@Laci-zsomboly,3.21,121.2,-77.0,1,,""
12@Laci-zsomboly,-,4.26,294.8,69.1,,,""
12@Laci-zsomboly,-,0.91,244.1,53.8,,,""
12@Laci-zsomboly,-,0.68,207.4,28.1,,,""
12@Laci-zsomboly,-,0.57,142.9,17.5,,,""
12@Laci-zsomboly,-,0.97,90.4,59.3,,,""
12@Laci-zsomboly,-,1.10,35.6,82.7,,,""
12@Laci-zsomboly,13@Laci-zsomboly,1.40,110.3,-30.3,1,,""
13@Laci-zsomboly,-,1.19,275.4,57.0,,,""
13@Laci-zsomboly,-,2.00,302.4,56.1,,,""
13@Laci-zsomboly,-,0.40,359.0,20.9,,,""
13@Laci-zsomboly,-,0.41,53.4,3.7,,,""
13@Laci-zsomboly,-,0.90,74.8,-54.2,,,""
13@Laci-zsomboly,-,0.51,97.8,26.0,,,""
13@Laci-zsomboly,14@Laci-zsomboly,1.45,85.3,-25.2,1,,"belövés"
9@Laci-zsomboly,15@Laci-zsomboly,3.50,180.7,-51.8,1,,"következő Y "
15@Laci-zsomboly,16@Laci-zsomboly,1.81,313.3,-61.9,1,,"szembe vp. "
16@Laci-zsomboly,17@Laci-zsomboly,2.06,110.9,-61.5,1,,"1. elhúzásnál közeli falon"
17@Laci-zsomboly,-,4.36,24.6,9.1,,,""
17@Laci-zsomboly,-,3.95,4.2,12.7,,,""
17@Laci-zsomboly,-,4.12,346.4,15.7,,,""
17@Laci-zsomboly,-,3.95,340.2,21.0,,,""
17@Laci-zsomboly,-,5.78,344.5,30.4,,,""
17@Laci-zsomboly,-,6.06,336.7,30.3,,,""
17@Laci-zsomboly,-,6.03,328.8,27.3,,,""
17@Laci-zsomboly,-,5.64,324.3,26.4,,,""
17@Laci-zsomboly,-,6.65,321.9,26.2,,,""
17@Laci-zsomboly,-,6.61,314.0,24.9,,,""
17@Laci-zsomboly,-,7.20,303.3,23.7,,,""
17@Laci-zsomboly,-,6.67,295.4,22.1,,,""
17@Laci-zsomboly,-,5.37,290.9,20.5,,,""
17@Laci-zsomboly,-,5.38,287.0,19.2,,,""
17@Laci-zsomboly,-,4.86,283.9,18.9,,,""
17@Laci-zsomboly,-,0.58,279.4,16.4,,,""
17@Laci-zsomboly,-,2.36,273.3,15.6,,,""
17@Laci-zsomboly,-,4.19,27.0,-3.1,,,""
17@Laci-zsomboly,-,4.41,31.2,-7.6,,,""
17@Laci-zsomboly,-,2.44,34.1,-33.2,,,""
17@Laci-zsomboly,-,1.03,220.2,20.9,,,""
17@Laci-zsomboly,-,3.05,228.2,22.2,,,""
17@Laci-zsomboly,-,2.46,225.6,13.9,,,""
17@Laci-zsomboly,-,2.36,228.5,12.9,,,""
17@Laci-zsomboly,-,1.69,239.4,12.6,,,""
17@Laci-zsomboly,-,1.34,245.9,14.3,,,""
17@Laci-zsomboly,-,1.49,252.1,13.9,,,""
17@Laci-zsomboly,-,2.08,2.6,62.2,,,""
17@Laci-zsomboly,-,2.82,307.2,66.6,,,""
17@Laci-zsomboly,-,2.78,259.4,58.1,,,""
